year,country,value
1970,Belgium,0
1971,Belgium,0
1972,Belgium,0
1973,Belgium,0
1974,Belgium,0
1975,Belgium,0
1976,Belgium,0
1977,Belgium,0
1978,Belgium,1
1979,Belgium,1
1980,Belgium,2
1981,Belgium,6
1982,Belgium,0
1983,Belgium,2
1984,Belgium,0
1985,Belgium,10
1986,Belgium,0
1987,Belgium,1
1988,Belgium,1
1989,Belgium,4
1990,Belgium,2
1991,Belgium,1
1992,Belgium,1
1993,Belgium,2
1994,Belgium,0
1995,Belgium,0
1996,Belgium,0
1997,Belgium,4
1998,Belgium,0
1999,Belgium,0
2000,Belgium,0
2001,Belgium,0
2002,Belgium,0
2003,Belgium,0
2004,Belgium,0
2005,Belgium,0
2006,Belgium,0
2007,Belgium,0
2008,Belgium,0
2009,Belgium,0
2010,Belgium,0
2011,Belgium,0
2012,Belgium,1
2013,Belgium,0
2014,Belgium,4
1970,Denmark,0
1971,Denmark,0
1972,Denmark,0
1973,Denmark,0
1974,Denmark,0
1975,Denmark,0
1976,Denmark,0
1977,Denmark,0
1978,Denmark,0
1979,Denmark,0
1980,Denmark,0
1981,Denmark,0
1982,Denmark,0
1983,Denmark,0
1984,Denmark,0
1985,Denmark,1
1986,Denmark,0
1987,Denmark,0
1988,Denmark,0
1989,Denmark,0
1990,Denmark,0
1991,Denmark,0
1992,Denmark,1
1993,Denmark,0
1994,Denmark,0
1995,Denmark,0
1996,Denmark,0
1997,Denmark,0
1998,Denmark,0
1999,Denmark,0
2000,Denmark,0
2001,Denmark,0
2002,Denmark,0
2003,Denmark,0
2004,Denmark,0
2005,Denmark,0
2006,Denmark,0
2007,Denmark,0
2008,Denmark,0
2009,Denmark,0
2010,Denmark,0
2011,Denmark,0
2012,Denmark,0
2013,Denmark,0
2014,Denmark,0
1970,France,0
1971,France,0
1972,France,1
1973,France,5
1974,France,3
1975,France,3
1976,France,7
1977,France,3
1978,France,21
1979,France,11
1980,France,20
1981,France,8
1982,France,17
1983,France,19
1984,France,15
1985,France,17
1986,France,25
1987,France,5
1988,France,6
1989,France,3
1990,France,3
1991,France,6
1992,France,9
1993,France,5
1994,France,7
1995,France,19
1996,France,18
1997,France,0
1998,France,1
1999,France,0
2000,France,4
2001,France,0
2002,France,0
2003,France,0
2004,France,0
2005,France,0
2006,France,1
2007,France,3
2008,France,0
2009,France,0
2010,France,0
2011,France,0
2012,France,8
2013,France,0
2014,France,1
1970,Germany,0
1971,Germany,0
1972,Germany,0
1973,Germany,0
1974,Germany,0
1975,Germany,0
1976,Germany,0
1977,Germany,0
1978,Germany,0
1979,Germany,0
1980,Germany,0
1981,Germany,0
1982,Germany,0
1983,Germany,0
1984,Germany,0
1985,Germany,0
1986,Germany,0
1987,Germany,0
1988,Germany,0
1989,Germany,0
1990,Germany,0
1991,Germany,10
1992,Germany,17
1993,Germany,27
1994,Germany,2
1995,Germany,10
1996,Germany,1
1997,Germany,0
1998,Germany,0
1999,Germany,3
2000,Germany,1
2001,Germany,3
2002,Germany,0
2003,Germany,0
2004,Germany,1
2005,Germany,2
2006,Germany,2
2007,Germany,1
2008,Germany,0
2009,Germany,0
2010,Germany,0
2011,Germany,2
2012,Germany,0
2013,Germany,0
2014,Germany,0
1970,Greece,2
1971,Greece,0
1972,Greece,0
1973,Greece,5
1974,Greece,92
1975,Greece,1
1976,Greece,14
1977,Greece,1
1978,Greece,0
1979,Greece,1
1980,Greece,5
1981,Greece,3
1982,Greece,2
1983,Greece,4
